sample_id,drone_type,distance_m,true_distance_m,image_path,label_path,image_width,image_height,bbox_x1,bbox_y1,bbox_x2,bbox_y2,weather,time_of_day,bbox_only__inner50_median__object_depth,bbox_width_px,bbox_height_px,bbox_width_norm,bbox_height_norm,bbox_area_ratio,bbox_aspect_ratio,bbox_center_x_norm,bbox_center_y_norm
Kongsberg::IMG_0045_JPG.rf.c6c7966fcfee6b8c81d1e38a4ff7191a.jpg,Kongsberg,4.0,4.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\images\IMG_0045_JPG.rf.c6c7966fcfee6b8c81d1e38a4ff7191a.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\labels\IMG_0045_JPG.rf.c6c7966fcfee6b8c81d1e38a4ff7191a.txt,1920,1080,672,312,822,378,unknown,unknown,3.3383841515,150.0,66.0,0.078125,0.0611111111,0.0047743056,2.2727272727,0.3890625,0.3194444444
Kongsberg::IMG_0046_JPG.rf.3be911b71da4382905db902b0a140ed3.jpg,Kongsberg,4.0,4.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\images\IMG_0046_JPG.rf.3be911b71da4382905db902b0a140ed3.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\labels\IMG_0046_JPG.rf.3be911b71da4382905db902b0a140ed3.txt,1920,1080,680,333,820,378,unknown,unknown,1.362375021,140.0,45.0,0.0729166667,0.0416666667,0.0030381944,3.1111111111,0.390625,0.3291666667
Kongsberg::IMG_0047_JPG.rf.21a1f69c2697bb73240394d9da957973.jpg,Kongsberg,4.0,4.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\images\IMG_0047_JPG.rf.21a1f69c2697bb73240394d9da957973.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\labels\IMG_0047_JPG.rf.21a1f69c2697bb73240394d9da957973.txt,1920,1080,672,338,832,382,unknown,unknown,1.3602998257,160.0,44.0,0.0833333333,0.0407407407,0.0033950617,3.6363636364,0.3916666667,0.3333333333
Kongsberg::IMG_0048_JPG.rf.22864aab7fbf31fdd950d3bfb4c3ae87.jpg,Kongsberg,4.0,4.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\images\IMG_0048_JPG.rf.22864aab7fbf31fdd950d3bfb4c3ae87.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\labels\IMG_0048_JPG.rf.22864aab7fbf31fdd950d3bfb4c3ae87.txt,1920,1080,650,340,842,380,unknown,unknown,1.9465110302,192.0,40.0,0.1,0.037037037,0.0037037037,4.8,0.3885416667,0.3333333333
Kongsberg::IMG_0049_JPG.rf.cb0f4c41b4737f1e84748118d466c3a3.jpg,Kongsberg,4.0,4.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\images\IMG_0049_JPG.rf.cb0f4c41b4737f1e84748118d466c3a3.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\labels\IMG_0049_JPG.rf.cb0f4c41b4737f1e84748118d466c3a3.txt,1920,1080,652,330,828,380,unknown,unknown,2.2075123787,176.0,50.0,0.0916666667,0.0462962963,0.0042438272,3.52,0.3854166667,0.3287037037
Kongsberg::IMG_0050_JPG.rf.9053193aff44a5c99f102d1bbb7f0c7e.jpg,Kongsberg,4.0,4.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\images\IMG_0050_JPG.rf.9053193aff44a5c99f102d1bbb7f0c7e.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\labels\IMG_0050_JPG.rf.9053193aff44a5c99f102d1bbb7f0c7e.txt,1920,1080,655,338,822,380,unknown,unknown,1.6917198896,167.0,42.0,0.0869791667,0.0388888889,0.0033825231,3.9761904762,0.3846354167,0.3324074074
Kongsberg::IMG_0051_JPG.rf.968205f4e7d2edbfbbb8a2fa20620954.jpg,Kongsberg,9.0,9.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_09m\images\IMG_0051_JPG.rf.968205f4e7d2edbfbbb8a2fa20620954.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_09m\labels\IMG_0051_JPG.rf.968205f4e7d2edbfbbb8a2fa20620954.txt,1920,1080,886,424,966,454,unknown,unknown,2.5359926224,80.0,30.0,0.0416666667,0.0277777778,0.0011574074,2.6666666667,0.4822916667,0.4064814815
Kongsberg::IMG_0052_JPG.rf.805d01ce1c69af5bc63781002f342e11.jpg,Kongsberg,9.0,9.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_09m\images\IMG_0052_JPG.rf.805d01ce1c69af5bc63781002f342e11.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_09m\labels\IMG_0052_JPG.rf.805d01ce1c69af5bc63781002f342e11.txt,1920,1080,886,425,970,450,unknown,unknown,3.3166725636,84.0,25.0,0.04375,0.0231481481,0.0010127315,3.36,0.4833333333,0.4050925926
Kongsberg::IMG_0053_JPG.rf.ab799d0bae7a664cefe889b731ba6d10.jpg,Kongsberg,9.0,9.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_09m\images\IMG_0053_JPG.rf.ab799d0bae7a664cefe889b731ba6d10.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_09m\labels\IMG_0053_JPG.rf.ab799d0bae7a664cefe889b731ba6d10.txt,1920,1080,894,424,985,449,unknown,unknown,2.5623188019,91.0,25.0,0.0473958333,0.0231481481,0.0010971258,3.64,0.4893229167,0.4041666667
Kongsberg::IMG_0054_JPG.rf.a43558943255b7964bae105733215973.jpg,Kongsberg,9.0,9.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_09m\images\IMG_0054_JPG.rf.a43558943255b7964bae105733215973.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_09m\labels\IMG_0054_JPG.rf.a43558943255b7964bae105733215973.txt,1920,1080,917,422,988,450,unknown,unknown,3.2592563629,71.0,28.0,0.0369791667,0.0259259259,0.0009587191,2.5357142857,0.49609375,0.4037037037
Kongsberg::IMG_0055_JPG.rf.84ac77b268ed9c30adede31068f45e75.jpg,Kongsberg,9.0,9.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_09m\images\IMG_0055_JPG.rf.84ac77b268ed9c30adede31068f45e75.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_09m\labels\IMG_0055_JPG.rf.84ac77b268ed9c30adede31068f45e75.txt,1920,1080,932,446,1008,474,unknown,unknown,2.4680085182,76.0,28.0,0.0395833333,0.0259259259,0.0010262346,2.7142857143,0.5052083333,0.4259259259
Kongsberg::IMG_0056_JPG.rf.bee414f355266ead8404214128f933d8.jpg,Kongsberg,9.0,9.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_09m\images\IMG_0056_JPG.rf.bee414f355266ead8404214128f933d8.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_09m\labels\IMG_0056_JPG.rf.bee414f355266ead8404214128f933d8.txt,1920,1080,922,450,1004,480,unknown,unknown,2.6675333977,82.0,30.0,0.0427083333,0.0277777778,0.0011863426,2.7333333333,0.5015625,0.4305555556
Kongsberg::IMG_0057_JPG.rf.74acf3fd4676290911d4992591ac9bea.jpg,Kongsberg,9.0,9.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_09m\images\IMG_0057_JPG.rf.74acf3fd4676290911d4992591ac9bea.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_09m\labels\IMG_0057_JPG.rf.74acf3fd4676290911d4992591ac9bea.txt,1920,1080,924,456,998,484,unknown,unknown,2.6044783592,74.0,28.0,0.0385416667,0.0259259259,0.0009992284,2.6428571429,0.5005208333,0.4351851852
Kongsberg::IMG_0058_JPG.rf.c36857e0c45ad4f4287e699295ded295.jpg,Kongsberg,9.0,9.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_09m\images\IMG_0058_JPG.rf.c36857e0c45ad4f4287e699295ded295.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_09m\labels\IMG_0058_JPG.rf.c36857e0c45ad4f4287e699295ded295.txt,1920,1080,900,465,972,491,unknown,unknown,2.9236321449,72.0,26.0,0.0375,0.0240740741,0.0009027778,2.7692307692,0.4875,0.4425925926
Kongsberg::IMG_0059_JPG.rf.f8ff31b2afa0988f5b6c5b649c2fd8f7.jpg,Kongsberg,9.0,9.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_09m\images\IMG_0059_JPG.rf.f8ff31b2afa0988f5b6c5b649c2fd8f7.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_09m\labels\IMG_0059_JPG.rf.f8ff31b2afa0988f5b6c5b649c2fd8f7.txt,1920,1080,905,460,990,492,unknown,unknown,2.9805727005,85.0,32.0,0.0442708333,0.0296296296,0.0013117284,2.65625,0.4934895833,0.4407407407
Kongsberg::IMG_0060_JPG.rf.43581f332d814b5abf381f56af86eb81.jpg,Kongsberg,9.0,9.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_09m\images\IMG_0060_JPG.rf.43581f332d814b5abf381f56af86eb81.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_09m\labels\IMG_0060_JPG.rf.43581f332d814b5abf381f56af86eb81.txt,1920,1080,910,458,994,490,unknown,unknown,2.5945301056,84.0,32.0,0.04375,0.0296296296,0.0012962963,2.625,0.4958333333,0.4388888889
Kongsberg::IMG_0061_JPG.rf.ec97b3fc6bec836df87120740d803ed1.jpg,Kongsberg,9.0,9.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_09m\images\IMG_0061_JPG.rf.ec97b3fc6bec836df87120740d803ed1.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_09m\labels\IMG_0061_JPG.rf.ec97b3fc6bec836df87120740d803ed1.txt,1920,1080,908,453,990,480,unknown,unknown,2.8015861511,82.0,27.0,0.0427083333,0.025,0.0010677083,3.037037037,0.4942708333,0.4319444444
Kongsberg::IMG_0062_JPG.rf.50831e1ced2a971ecb88542cd401972b.jpg,Kongsberg,9.0,9.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_09m\images\IMG_0062_JPG.rf.50831e1ced2a971ecb88542cd401972b.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_09m\labels\IMG_0062_JPG.rf.50831e1ced2a971ecb88542cd401972b.txt,1920,1080,898,446,978,476,unknown,unknown,2.8963599205,80.0,30.0,0.0416666667,0.0277777778,0.0011574074,2.6666666667,0.4885416667,0.4268518519
Kongsberg::IMG_0063_JPG.rf.b0ce0160156adf246ec13b85f0128fcf.jpg,Kongsberg,9.0,9.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_09m\images\IMG_0063_JPG.rf.b0ce0160156adf246ec13b85f0128fcf.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_09m\labels\IMG_0063_JPG.rf.b0ce0160156adf246ec13b85f0128fcf.txt,1920,1080,900,444,976,474,unknown,unknown,2.8721923828,76.0,30.0,0.0395833333,0.0277777778,0.001099537,2.5333333333,0.4885416667,0.425
Kongsberg::IMG_0064_JPG.rf.b9c70850a104466714ea1a76354c4447.jpg,Kongsberg,9.0,9.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_09m\images\IMG_0064_JPG.rf.b9c70850a104466714ea1a76354c4447.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_09m\labels\IMG_0064_JPG.rf.b9c70850a104466714ea1a76354c4447.txt,1920,1080,897,442,973,467,unknown,unknown,3.276268959,76.0,25.0,0.0395833333,0.0231481481,0.0009162809,3.04,0.4869791667,0.4208333333
Kongsberg::IMG_0065_JPG.rf.d3e4222cfcaaa5e0b939000e4b3ccd59.jpg,Kongsberg,9.0,9.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_09m\images\IMG_0065_JPG.rf.d3e4222cfcaaa5e0b939000e4b3ccd59.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_09m\labels\IMG_0065_JPG.rf.d3e4222cfcaaa5e0b939000e4b3ccd59.txt,1920,1080,898,447,978,472,unknown,unknown,2.9589190483,80.0,25.0,0.0416666667,0.0231481481,0.0009645062,3.2,0.4885416667,0.425462963
Kongsberg::IMG_0066_JPG.rf.cc24428ae066c61be44da2aadb6d518d.jpg,Kongsberg,9.0,9.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_09m\images\IMG_0066_JPG.rf.cc24428ae066c61be44da2aadb6d518d.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_09m\labels\IMG_0066_JPG.rf.cc24428ae066c61be44da2aadb6d518d.txt,1920,1080,892,446,974,474,unknown,unknown,2.8792042732,82.0,28.0,0.0427083333,0.0259259259,0.0011072531,2.9285714286,0.4859375,0.4259259259
