sample_id,drone_type,distance_m,true_distance_m,image_path,label_path,weather,time_of_day,bbox_width_px__jitter_median,bbox_width_px__jitter_std,bbox_height_px__jitter_median,bbox_height_px__jitter_std,bbox_width_norm__jitter_median,bbox_width_norm__jitter_std,bbox_height_norm__jitter_median,bbox_height_norm__jitter_std,bbox_area_ratio__jitter_median,bbox_area_ratio__jitter_std,bbox_aspect_ratio__jitter_median,bbox_aspect_ratio__jitter_std,bbox_center_x_norm__jitter_median,bbox_center_x_norm__jitter_std,bbox_center_y_norm__jitter_median,bbox_center_y_norm__jitter_std,bbox_only__inner50_median__object_depth__jitter_median,weather=clear_sky,weather=light_rain,time_of_day=10AM,time_of_day=8PM
Kongsberg::IMG_0043_JPG.rf.a6b0b466a614e0230c506ef8a458bb4d.jpg,Kongsberg,4.0,4.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\images\IMG_0043_JPG.rf.a6b0b466a614e0230c506ef8a458bb4d.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\labels\IMG_0043_JPG.rf.a6b0b466a614e0230c506ef8a458bb4d.txt,unknown,unknown,180.0,7.48331477,56.0,2.13808994,0.09375,0.00389756,0.05185185,0.00197971,0.00486111,0.00038789,3.21428571,0.01098452,0.396875,0.00389756,0.31481481,0.00197971,1.25093365,0.0,0.0,0.0,0.0
Kongsberg::IMG_0044_JPG.rf.a0b97094e914c482b05f7b3ccb102c0c.jpg,Kongsberg,4.0,4.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\images\IMG_0044_JPG.rf.a0b97094e914c482b05f7b3ccb102c0c.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\labels\IMG_0044_JPG.rf.a0b97094e914c482b05f7b3ccb102c0c.txt,unknown,unknown,147.0,6.41426981,53.0,2.13808994,0.0765625,0.00334077,0.04907407,0.00197971,0.00375723,0.00031569,2.77358491,0.00920488,0.39505208,0.00334077,0.32268519,0.00197971,1.94057429,0.0,0.0,0.0,0.0
Kongsberg::IMG_0045_JPG.rf.c6c7966fcfee6b8c81d1e38a4ff7191a.jpg,Kongsberg,4.0,4.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\images\IMG_0045_JPG.rf.c6c7966fcfee6b8c81d1e38a4ff7191a.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\labels\IMG_0045_JPG.rf.c6c7966fcfee6b8c81d1e38a4ff7191a.txt,unknown,unknown,150.0,6.41426981,66.0,3.2071349,0.078125,0.00334077,0.06111111,0.00296957,0.00477431,0.00043644,2.27272727,0.01340245,0.3890625,0.00334077,0.31944444,0.00247464,3.38404942,0.0,0.0,0.0,0.0
Kongsberg::IMG_0046_JPG.rf.3be911b71da4382905db902b0a140ed3.jpg,Kongsberg,4.0,4.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\images\IMG_0046_JPG.rf.3be911b71da4382905db902b0a140ed3.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\labels\IMG_0046_JPG.rf.3be911b71da4382905db902b0a140ed3.txt,unknown,unknown,140.0,6.41426981,45.0,2.13808994,0.07291667,0.00334077,0.04166667,0.00197971,0.00303819,0.00028375,3.11111111,0.00533627,0.390625,0.00306237,0.32916667,0.00197971,1.36237502,0.0,0.0,0.0,0.0
Kongsberg::IMG_0047_JPG.rf.21a1f69c2697bb73240394d9da957973.jpg,Kongsberg,4.0,4.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\images\IMG_0047_JPG.rf.21a1f69c2697bb73240394d9da957973.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\labels\IMG_0047_JPG.rf.21a1f69c2697bb73240394d9da957973.txt,unknown,unknown,160.0,6.41426981,44.0,2.13808994,0.08333333,0.00334077,0.04074074,0.00197971,0.00339506,0.00030126,3.63636364,0.03127237,0.39166667,0.00361916,0.33333333,0.00197971,1.43892324,0.0,0.0,0.0,0.0
Kongsberg::IMG_0048_JPG.rf.22864aab7fbf31fdd950d3bfb4c3ae87.jpg,Kongsberg,4.0,4.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\images\IMG_0048_JPG.rf.22864aab7fbf31fdd950d3bfb4c3ae87.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\labels\IMG_0048_JPG.rf.22864aab7fbf31fdd950d3bfb4c3ae87.txt,unknown,unknown,192.0,8.55235974,40.0,2.13808994,0.1,0.00445435,0.03703704,0.00197971,0.0037037,0.00036322,4.8,0.04334772,0.38854167,0.00417596,0.33333333,0.00148478,1.94651103,0.0,0.0,0.0,0.0
Kongsberg::IMG_0049_JPG.rf.cb0f4c41b4737f1e84748118d466c3a3.jpg,Kongsberg,4.0,4.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\images\IMG_0049_JPG.rf.cb0f4c41b4737f1e84748118d466c3a3.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\labels\IMG_0049_JPG.rf.cb0f4c41b4737f1e84748118d466c3a3.txt,unknown,unknown,176.0,7.48331477,50.0,2.13808994,0.09166667,0.00389756,0.0462963,0.00197971,0.00424383,0.00036212,3.52,0.00086271,0.38541667,0.00389756,0.3287037,0.00197971,2.12059736,0.0,0.0,0.0,0.0
Kongsberg::IMG_0050_JPG.rf.9053193aff44a5c99f102d1bbb7f0c7e.jpg,Kongsberg,4.0,4.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\images\IMG_0050_JPG.rf.9053193aff44a5c99f102d1bbb7f0c7e.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\labels\IMG_0050_JPG.rf.9053193aff44a5c99f102d1bbb7f0c7e.txt,unknown,unknown,167.0,7.48331477,42.0,2.13808994,0.08697917,0.00389756,0.03888889,0.00197971,0.00338252,0.000324,3.97619048,0.02454239,0.38463542,0.00361916,0.33240741,0.00148478,1.69605875,0.0,0.0,0.0,0.0
Kongsberg::IMG_0051_JPG.rf.968205f4e7d2edbfbbb8a2fa20620954.jpg,Kongsberg,9.0,9.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_09m\images\IMG_0051_JPG.rf.968205f4e7d2edbfbbb8a2fa20620954.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_09m\labels\IMG_0051_JPG.rf.968205f4e7d2edbfbbb8a2fa20620954.txt,unknown,unknown,80.0,3.2071349,30.0,1.06904497,0.04166667,0.00167038,0.02777778,0.00098986,0.00115741,8.768e-05,2.66666667,0.01195023,0.48229167,0.00167038,0.40648148,0.00098986,2.53599262,0.0,0.0,0.0,0.0
Kongsberg::IMG_0052_JPG.rf.805d01ce1c69af5bc63781002f342e11.jpg,Kongsberg,9.0,9.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_09m\images\IMG_0052_JPG.rf.805d01ce1c69af5bc63781002f342e11.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_09m\labels\IMG_0052_JPG.rf.805d01ce1c69af5bc63781002f342e11.txt,unknown,unknown,84.0,3.2071349,25.0,1.06904497,0.04375,0.00167038,0.02314815,0.00098986,0.00101273,8.201e-05,3.36,0.01552878,0.48333333,0.00194878,0.40509259,0.00098986,3.29977679,0.0,0.0,0.0,0.0
Kongsberg::IMG_0053_JPG.rf.ab799d0bae7a664cefe889b731ba6d10.jpg,Kongsberg,9.0,9.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_09m\images\IMG_0053_JPG.rf.ab799d0bae7a664cefe889b731ba6d10.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_09m\labels\IMG_0053_JPG.rf.ab799d0bae7a664cefe889b731ba6d10.txt,unknown,unknown,91.0,4.27617987,25.0,1.06904497,0.04739583,0.00222718,0.02314815,0.00098986,0.00109713,9.853e-05,3.64,0.01552878,0.48932292,0.00194878,0.40416667,0.00098986,2.45455527,0.0,0.0,0.0,0.0
Kongsberg::IMG_0054_JPG.rf.a43558943255b7964bae105733215973.jpg,Kongsberg,9.0,9.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_09m\images\IMG_0054_JPG.rf.a43558943255b7964bae105733215973.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_09m\labels\IMG_0054_JPG.rf.a43558943255b7964bae105733215973.txt,unknown,unknown,71.0,3.2071349,28.0,1.06904497,0.03697917,0.00167038,0.02592593,0.00098986,0.00095872,7.995e-05,2.53571429,0.01784985,0.49609375,0.00167038,0.4037037,0.00098986,2.90412998,0.0,0.0,0.0,0.0
Kongsberg::IMG_0055_JPG.rf.84ac77b268ed9c30adede31068f45e75.jpg,Kongsberg,9.0,9.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_09m\images\IMG_0055_JPG.rf.84ac77b268ed9c30adede31068f45e75.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_09m\labels\IMG_0055_JPG.rf.84ac77b268ed9c30adede31068f45e75.txt,unknown,unknown,76.0,3.2071349,28.0,1.06904497,0.03958333,0.00167038,0.02592593,0.00098986,0.00102623,8.253e-05,2.71428571,0.01098452,0.50520833,0.00167038,0.42592593,0.00098986,2.69887352,0.0,0.0,0.0,0.0
Kongsberg::IMG_0056_JPG.rf.bee414f355266ead8404214128f933d8.jpg,Kongsberg,9.0,9.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_09m\images\IMG_0056_JPG.rf.bee414f355266ead8404214128f933d8.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_09m\labels\IMG_0056_JPG.rf.bee414f355266ead8404214128f933d8.txt,unknown,unknown,82.0,3.2071349,30.0,1.06904497,0.04270833,0.00167038,0.02777778,0.00098986,0.00118634,8.871e-05,2.73333333,0.00956018,0.5015625,0.00194878,0.43055556,0.00098986,2.6675334,0.0,0.0,0.0,0.0
Kongsberg::IMG_0057_JPG.rf.74acf3fd4676290911d4992591ac9bea.jpg,Kongsberg,9.0,9.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_09m\images\IMG_0057_JPG.rf.74acf3fd4676290911d4992591ac9bea.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_09m\labels\IMG_0057_JPG.rf.74acf3fd4676290911d4992591ac9bea.txt,unknown,unknown,74.0,3.2071349,28.0,1.06904497,0.03854167,0.00167038,0.02592593,0.00098986,0.00099923,8.15e-05,2.64285714,0.01373066,0.50052083,0.00167038,0.43518519,0.00098986,2.69840956,0.0,0.0,0.0,0.0
Kongsberg::IMG_0058_JPG.rf.c36857e0c45ad4f4287e699295ded295.jpg,Kongsberg,9.0,9.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_09m\images\IMG_0058_JPG.rf.c36857e0c45ad4f4287e699295ded295.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_09m\labels\IMG_0058_JPG.rf.c36857e0c45ad4f4287e699295ded295.txt,unknown,unknown,72.0,3.2071349,26.0,1.06904497,0.0375,0.00167038,0.02407407,0.00098986,0.00090278,7.738e-05,2.76923077,0.00956519,0.4875,0.00167038,0.44259259,0.00098986,3.11093068,0.0,0.0,0.0,0.0
Kongsberg::IMG_0059_JPG.rf.f8ff31b2afa0988f5b6c5b649c2fd8f7.jpg,Kongsberg,9.0,9.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_09m\images\IMG_0059_JPG.rf.f8ff31b2afa0988f5b6c5b649c2fd8f7.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_09m\labels\IMG_0059_JPG.rf.f8ff31b2afa0988f5b6c5b649c2fd8f7.txt,unknown,unknown,85.0,3.2071349,32.0,1.06904497,0.04427083,0.00167038,0.02962963,0.00098986,0.00131173,9.335e-05,2.65625,0.01154499,0.49348958,0.00194878,0.44074074,0.00148478,2.9805727,0.0,0.0,0.0,0.0
Kongsberg::IMG_0060_JPG.rf.43581f332d814b5abf381f56af86eb81.jpg,Kongsberg,9.0,9.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_09m\images\IMG_0060_JPG.rf.43581f332d814b5abf381f56af86eb81.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_09m\labels\IMG_0060_JPG.rf.43581f332d814b5abf381f56af86eb81.txt,unknown,unknown,84.0,3.2071349,32.0,1.06904497,0.04375,0.00167038,0.02962963,0.00098986,0.0012963,9.284e-05,2.625,0.01259453,0.49583333,0.00194878,0.43888889,0.00148478,2.64062929,0.0,0.0,0.0,0.0
Kongsberg::IMG_0061_JPG.rf.ec97b3fc6bec836df87120740d803ed1.jpg,Kongsberg,9.0,9.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_09m\images\IMG_0061_JPG.rf.ec97b3fc6bec836df87120740d803ed1.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_09m\labels\IMG_0061_JPG.rf.ec97b3fc6bec836df87120740d803ed1.txt,unknown,unknown,82.0,3.2071349,27.0,1.06904497,0.04270833,0.00167038,0.025,0.00098986,0.00106771,8.408e-05,3.03703704,0.00147743,0.49427083,0.00194878,0.43194444,0.00098986,2.80158615,0.0,0.0,0.0,0.0
Kongsberg::IMG_0062_JPG.rf.50831e1ced2a971ecb88542cd401972b.jpg,Kongsberg,9.0,9.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_09m\images\IMG_0062_JPG.rf.50831e1ced2a971ecb88542cd401972b.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_09m\labels\IMG_0062_JPG.rf.50831e1ced2a971ecb88542cd401972b.txt,unknown,unknown,80.0,3.2071349,30.0,1.06904497,0.04166667,0.00167038,0.02777778,0.00098986,0.00115741,8.768e-05,2.66666667,0.01195023,0.48854167,0.00167038,0.42685185,0.00098986,2.87029314,0.0,0.0,0.0,0.0
